City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
175,priladozhskiy,59.85,31.4833,293.79,1,100,1.65,RU,1628157114
176,lebu,-37.6167,-73.65,285.01,77,100,6.04,CL,1628157114
177,pevek,69.7008,170.3133,277.77,91,100,5.26,RU,1628157115
178,tarakan,3.3,117.6333,304.87,62,20,1.54,ID,1628157115
179,rio gallegos,-51.6226,-69.2181,286.18,26,0,12.86,AR,1628157116
180,portland,45.5234,-122.6762,295.47,75,90,0.45,US,1628157116
181,nuuk,64.1835,-51.7216,283.08,76,100,8.94,GL,1628157116
182,palmerston north,-40.35,175.6167,285.2,91,52,1.29,NZ,1628156817
183,asau,46.4333,26.4,303.12,55,34,2.74,RO,1628157117
184,sur,22.5667,59.5289,313.04,36,53,3.11,OM,1628157117
185,keti bandar,24.1447,67.4497,302.79,70,92,8.06,PK,1628157118
186,margate,51.3813,1.3862,295.2,64,72,2.24,GB,1628157118
187,nanortalik,60.1432,-45.2371,280.1,92,53,2.94,GL,1628157119
188,athni,16.7333,75.0667,300.83,65,100,10.75,IN,1628157119
189,aprelevka,55.5519,37.0801,297.59,49,0,3.0,RU,1628157120
190,selikhino,50.3672,137.4996,290.94,85,68,2.28,RU,1628157120
191,aasiaat,68.7098,-52.8699,277.6,98,99,0.78,GL,1628157120
192,hope,33.6671,-93.5916,296.18,76,100,1.26,US,1628157121
193,kilinochchi,9.3961,80.3982,305.39,51,100,6.71,LK,1628157122
194,ayorou,14.7308,0.9174,305.5,46,100,3.71,NE,1628157123
195,wangqing,43.3218,129.7634,299.19,68,100,1.64,CN,1628157123
196,aromashevo,56.8602,68.6375,291.29,88,100,2.55,RU,1628157124
197,saint-pierre,-21.3393,55.4781,295.97,58,40,11.83,RE,1628157124
198,viseu,40.661,-7.9097,296.66,34,4,2.37,PT,1628156951
199,barrow,71.2906,-156.7887,281.16,87,1,3.09,US,1628157125
200,leningradskiy,69.3833,178.4167,276.4,97,75,1.57,RU,1628157125
201,karratha,-20.7377,116.8463,296.9,48,69,5.41,AU,1628157125
202,bulanash,57.2783,61.9965,303.69,46,75,1.75,RU,1628157126
203,eyl,7.9803,49.8164,306.48,44,28,12.17,SO,1628157126
204,tucuman,-26.8241,-65.2226,282.15,71,28,2.57,AR,1628157126
205,sandakan,5.8402,118.1179,303.97,74,20,4.12,MY,1628157127
206,swellendam,-34.0226,20.4417,289.36,75,96,1.07,ZA,1628157127
207,polovinnoye,54.7914,65.9864,302.47,39,100,4.11,RU,1628157128
208,asosa,10.0667,34.5333,293.89,82,100,0.66,ET,1628157128
209,nanakuli,21.3906,-158.1547,299.12,71,1,2.06,US,1628157129
210,lasa,46.6166,10.7002,293.72,80,71,2.91,IT,1628157129
211,ribeira grande,38.5167,-28.7,297.37,78,20,6.69,PT,1628157129
212,fatsa,41.0278,37.5014,302.1,62,4,3.73,TR,1628157130
213,taksimo,56.3444,114.8794,295.96,45,29,2.41,RU,1628157131
214,sayyan,15.1718,44.3244,294.99,43,91,2.75,YE,1628157131
215,itaituba,-4.2761,-55.9836,297.53,60,91,0.25,BR,1628157131
216,manokwari,-0.8667,134.0833,298.52,80,99,1.6,ID,1628157132
217,seoul,37.5683,126.9778,305.93,55,20,5.14,KR,1628156833
218,clyde river,70.4692,-68.5914,275.28,100,90,5.14,CA,1628157133
219,zinder,13.8072,8.9881,303.13,66,20,5.14,NE,1628157133
220,constitucion,-35.3333,-72.4167,284.64,84,100,2.89,CL,1628157134
221,yellowknife,62.456,-114.3525,283.31,100,90,0.0,CA,1628156641
222,fairbanks,64.8378,-147.7164,291.15,68,1,3.6,US,1628157134
223,torbay,47.6666,-52.7314,289.03,81,75,4.12,CA,1628157134
224,erzin,36.9559,36.2,309.44,39,0,3.65,TR,1628157135
225,fortuna foothills,32.6578,-114.4119,307.2,50,1,4.02,US,1628157135
226,farmington,36.7281,-108.2187,294.53,57,1,5.66,US,1628157002
227,cankuzo,-3.1333,30.5833,299.02,34,14,3.34,BI,1628157136
228,xinzhou,38.4092,112.7333,303.34,36,38,1.82,CN,1628157136
229,iquique,-20.2208,-70.1431,286.17,63,1,2.73,CL,1628156912
230,teluk nibung,3.001,99.8164,301.76,75,96,3.5,ID,1628157137
231,pauini,-7.7136,-66.9764,292.36,59,10,1.45,BR,1628157137
232,marion,39.7684,-86.1555,290.26,87,1,2.06,US,1628156992
233,faisalabad,31.4167,73.0833,316.06,25,24,1.37,PK,1628157138
234,coruripe,-10.1256,-36.1756,295.62,86,69,4.65,BR,1628156937
235,kaele,10.1092,14.4508,304.46,56,92,4.57,CM,1628157139
236,mwembe,-4.15,37.85,298.48,42,50,3.06,TZ,1628157139
237,acapulco,16.8634,-99.8901,298.07,89,100,3.3,MX,1628157140
238,miramar,25.9873,-80.2323,301.49,88,1,0.0,US,1628157140
239,bulgan,48.8125,103.5347,297.44,56,16,2.29,MN,1628157141
240,vanimo,-2.6741,141.3028,299.46,80,11,2.18,PG,1628157141
241,bafia,4.75,11.2333,297.17,82,98,1.3,CM,1628157142
242,vanino,49.0869,140.2543,288.49,98,100,1.6,RU,1628157142
243,mareeba,-17.0,145.4333,290.55,70,6,1.53,AU,1628157143
244,komono,35.0,136.5167,303.84,82,60,2.11,JP,1628157143
245,saint-francois,46.4154,3.9054,294.36,75,75,3.09,FR,1628157144
246,prince george,53.9166,-122.753,291.07,81,75,0.0,CA,1628157144
247,aborlan,9.4352,118.5492,301.08,84,100,4.11,PH,1628157145
248,lagoa,39.05,-27.9833,295.49,90,1,6.34,PT,1628157145
249,kavaratti,10.5669,72.642,301.31,81,100,8.24,IN,1628157145
250,novooleksiyivka,46.2269,34.6428,303.22,40,9,5.01,UA,1628157146
251,havre-saint-pierre,50.2334,-63.5986,283.15,93,1,1.54,CA,1628157146
252,san rafael,-34.6177,-68.3301,284.56,43,0,2.58,AR,1628157146
253,salinas,36.6777,-121.6555,288.44,89,90,2.57,US,1628157147
254,clarksdale,34.2001,-90.5709,291.43,100,75,0.0,US,1628157147
255,codrington,-38.2667,141.9667,284.13,85,100,5.84,AU,1628157148
256,manta,-0.95,-80.7333,294.69,87,96,3.69,EC,1628157148
257,hornepayne,49.2138,-84.7705,290.41,78,100,3.39,CA,1628157149
258,tiarei,-17.5333,-149.3333,297.16,77,30,3.34,PF,1628157149
259,waddan,29.1614,16.139,312.72,12,0,4.4,LY,1628157149
260,kandrian,-6.2167,149.55,298.18,90,47,4.65,PG,1628157150
261,praia da vitoria,38.7333,-27.0667,297.46,83,20,4.16,PT,1628157151
262,mar del plata,-38.0023,-57.5575,280.98,31,90,5.36,AR,1628157152
263,kavieng,-2.5744,150.7967,300.77,77,55,2.42,PG,1628157153
264,catamarca,-28.4696,-65.7852,286.91,64,46,2.53,AR,1628157046
265,igarka,67.4667,86.5833,300.28,41,7,2.14,RU,1628157154
266,ayagoz,47.9714,80.4392,299.49,30,56,8.52,KZ,1628157154
267,mukhen,48.1,136.1,295.58,91,79,0.85,RU,1628157154
268,lafiagi,8.8667,5.4167,297.84,88,99,3.45,NG,1628157155
